loan_id,age,income,employment_length,loan_amount,interest_rate,credit_score,dti_ratio,num_credit_lines,delinquencies,home_ownership,loan_purpose,approved
1,25,35000,2,5000,12.5,650,0.35,3,0,RENT,debt_consolidation,1
2,45,85000,15,25000,8.2,780,0.22,8,0,OWN,home_improvement,1
3,30,42000,4,10000,15.1,580,0.45,5,2,RENT,credit_card,0
4,35,62000,8,15000,9.8,720,0.28,6,0,MORTGAGE,debt_consolidation,1
5,22,28000,1,3000,18.5,520,0.55,2,3,RENT,medical,0
6,50,95000,20,30000,7.5,800,0.18,10,0,OWN,home_improvement,1
7,28,38000,3,8000,14.2,620,0.40,4,1,RENT,credit_card,0
8,40,72000,12,20000,10.5,700,0.30,7,0,MORTGAGE,debt_consolidation,1
9,33,55000,6,12000,11.8,680,0.33,5,0,RENT,small_business,1
10,27,32000,2,6000,16.0,560,0.50,3,2,RENT,medical,0
11,55,110000,25,35000,6.8,820,0.15,12,0,OWN,home_improvement,1
12,38,68000,10,18000,10.0,710,0.27,6,0,MORTGAGE,debt_consolidation,1
13,24,30000,1,4000,17.5,540,0.52,2,1,RENT,credit_card,0
14,42,78000,14,22000,8.8,750,0.24,8,0,OWN,home_improvement,1
15,31,48000,5,11000,13.0,640,0.38,5,1,RENT,debt_consolidation,1
16,29,40000,3,7000,14.8,600,0.42,4,2,RENT,credit_card,0
17,48,92000,18,28000,7.9,790,0.20,9,0,OWN,home_improvement,1
18,36,60000,7,14000,11.2,690,0.31,6,0,MORTGAGE,small_business,1
19,23,26000,1,2500,19.0,510,0.58,2,3,RENT,medical,0
20,52,105000,22,32000,7.2,810,0.16,11,0,OWN,debt_consolidation,1
